region_id,region_type,region
417564,neigh,Chandler Ginning; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417578,neigh,Coronado Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417723,neigh,Cooper Commons; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417914,neigh,Desert Uplands; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
276037,neigh,Westside Development; AZ; Tucson; Pima County
762629,neigh,Sage Creek; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
417685,neigh,Finley Farms; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417735,neigh,Vasaro; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
273956,neigh,Hedrick Acres; AZ; Tucson; Pima County
417883,neigh,Dobson Woods; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
396586,neigh,Drexel-Alvernon; AZ; Tucson; Pima County
417586,neigh,Stratland Shadows; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417587,neigh,Whitewing at Germann; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417585,neigh,Weston Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
276214,neigh,Blenman-Elm; AZ; Tucson; Pima County
275621,neigh,Sunnyside; AZ; Tucson; Pima County
274529,neigh,Midvale Park; AZ; Tucson; Pima County
14041,neigh,Sun Lakes; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
267954,neigh,North Gateway; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
275179,neigh,Rita Ranch; AZ; Tucson; Pima County
417624,neigh,Suburban Ranchettes; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417690,neigh,Higley Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
274105,neigh,Ironwood Ridge; AZ; Tucson; Pima County
267902,neigh,Alegre Community; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417772,neigh,The Traditions; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
275008,neigh,Pepperwood; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417694,neigh,Highlands West; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
267927,neigh,Escalante; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417890,neigh,United Amigos; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
273614,neigh,El Cortez; AZ; Tucson; Pima County
272713,neigh,A Mountain; AZ; Tucson; Pima County
276298,neigh,Dodge Flower; AZ; Tucson; Pima County
274306,neigh,Limberlost; AZ; Tucson; Pima County
267978,neigh,Tempe Royal Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
112971,neigh,Summit; AZ; Tucson; Pima County
417951,neigh,Parkwood Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417955,neigh,Sunland Springs Village; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
112275,neigh,Leisure World; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
273020,neigh,Bravo Park Lane; AZ; Tucson; Pima County
274829,neigh,Oak Flower; AZ; Tucson; Pima County
