region_id,region_type,region
21021,city,Vail; AZ; Tucson; Pima County
22503,city,Littlefield; AZ; Lake Havasu City-Kingman; Mohave County
49046,city,Gadsden; AZ; Yuma; Yuma County
17531,city,Colorado City; AZ; Lake Havasu City-Kingman; Mohave County
23952,city,Carefree; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
42768,city,Mc Neal; AZ; Sierra Vista-Douglas; Cochise County
27333,city,Superior; AZ; Phoenix-Mesa-Scottsdale; Pinal County
21624,city,Clarkdale; AZ; Prescott; Yavapai County
33347,city,Patagonia; AZ; Nogales; Santa Cruz County
54520,city,Springerville; AZ; Apache County
33569,city,Quartzsite; AZ; La Paz County
44421,city,Camp Verde; AZ; Prescott; Yavapai County
47557,city,Sanders; AZ; Apache County
27143,city,Solomon; AZ; Safford; Graham County
13233,city,Pearce; AZ; Sierra Vista-Douglas; Cochise County
10861,city,Clifton; AZ; Greenlee County
33283,city,Overgaard; AZ; Show Low; Navajo County
7011,city,Seligman; AZ; Prescott; Yavapai County
50433,city,Congress; AZ; Prescott; Yavapai County
17381,city,Chambers; AZ; Apache County
17794,city,Dolan Springs; AZ; Lake Havasu City-Kingman; Mohave County
30475,city,Black Canyon City; AZ; Prescott; Yavapai County
41188,city,Taylor; AZ; Show Low; Navajo County
31610,city,Fort McDowell; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
40575,city,Rio Verde; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
45503,city,Grand Canyon; AZ; Flagstaff; Coconino County
20623,city,Stanfield; AZ; Phoenix-Mesa-Scottsdale; Pinal County
33363,city,Peach Springs; AZ; Lake Havasu City-Kingman; Mohave County
19528,city,Naco; AZ; Sierra Vista-Douglas; Cochise County
56350,city,Pine; AZ; Payson; Gila County
16202,city,Saint David; AZ; Sierra Vista-Douglas; Cochise County
17942,city,Elfrida; AZ; Sierra Vista-Douglas; Cochise County
55723,city,Kirkland; AZ; Prescott; Yavapai County
5381,city,Kearny; AZ; Phoenix-Mesa-Scottsdale; Pinal County
12521,city,Mammoth; AZ; Phoenix-Mesa-Scottsdale; Pinal County
51845,city,Eden; AZ; Safford; Graham County
33437,city,Pirtleville; AZ; Sierra Vista-Douglas; Cochise County
30036,city,Salome; AZ; La Paz County
27433,city,Tombstone; AZ; Sierra Vista-Douglas; Cochise County
39178,city,Joseph City; AZ; Show Low; Navajo County
41817,city,Young; AZ; Payson; Gila County
44005,city,Bagdad; AZ; Prescott; Yavapai County
45120,city,Elgin; AZ; Nogales; Santa Cruz County
8149,city,Arlington; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
16692,city,Aguila; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
26235,city,Nutrioso; AZ; Apache County
34971,city,Amado; AZ; Tucson; Pima County
396566,city,Dewey-Humboldt; AZ; Prescott; Yavapai County
23021,city,Ash Fork; AZ; Prescott; Yavapai County
22303,city,Parks; AZ; Flagstaff; Coconino County
14196,city,Tubac; AZ; Nogales; Santa Cruz County
15970,city,Valley Farms; AZ; Phoenix-Mesa-Scottsdale; Pinal County
17384,city,Chandler; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
29566,city,Sonoita; AZ; Nogales; Santa Cruz County
17503,city,Cochise; AZ; Sierra Vista-Douglas; Cochise County
36601,city,Happy Jack; AZ; Flagstaff; Coconino County
28980,city,Marble Canyon; AZ; Flagstaff; Coconino County
8371,city,Concho; AZ; Apache County
33934,city,Sells; AZ; Tucson; Pima County
51653,city,Dateland; AZ; Yuma; Yuma County
47439,city,Roll; AZ; Yuma; Yuma County
47553,city,San Simon; AZ; Sierra Vista-Douglas; Cochise County
42561,city,Mormon Lake; AZ; Flagstaff; Coconino County
41257,city,Topock; AZ; Lake Havasu City-Kingman; Mohave County
52690,city,Jerome; AZ; Prescott; Yavapai County
38229,city,Dragoon; AZ; Sierra Vista-Douglas; Cochise County
14639,city,Wikieup; AZ; Lake Havasu City-Kingman; Mohave County
11272,city,Ehrenberg; AZ; La Paz County
28020,city,Woodruff; AZ; Show Low; Navajo County
112707,city,Red Rock; AZ; Phoenix-Mesa-Scottsdale; Pinal County
16130,city,Tonto Basin; AZ; Payson; Gila County
9392,city,Yucca; AZ; Lake Havasu City-Kingman; Mohave County
8875,city,Munds Park; AZ; Flagstaff; Coconino County
51098,city,Bouse; AZ; La Paz County
5888,city,Meadview; AZ; Lake Havasu City-Kingman; Mohave County
48399,city,Wenden; AZ; La Paz County
48236,city,Vernon; AZ; Apache County
52080,city,Fort Thomas; AZ; Safford; Graham County
40929,city,Skull Valley; AZ; Prescott; Yavapai County
17074,city,Blue; AZ; Greenlee County
34349,city,Tumacacori; AZ; Nogales; Santa Cruz County
20237,city,Roosevelt; AZ; Payson; Gila County
112945,city,Star Valley; AZ; Payson; Gila County
38931,city,Hayden; AZ; Payson; Gila County
21604,city,Cibola; AZ; La Paz County
40343,city,Pinedale; AZ; Show Low; Navajo County
35704,city,Forest Lakes; AZ; Flagstaff; Coconino County
30178,city,Alpine; AZ; Apache County
38248,city,Duncan; AZ; Greenlee County
30040,city,Winkelman; AZ; Payson; Gila County
50600,city,Yarnell; AZ; Prescott; Yavapai County
24964,city,Greer; AZ; Apache County
3443,city,Arivaca; AZ; Tucson; Pima County
51607,city,Crown King; AZ; Prescott; Yavapai County
10818,city,Chloride; AZ; Lake Havasu City-Kingman; Mohave County
112003,city,Gisela; AZ; Payson; Gila County
21519,city,Arizona City; AZ; Phoenix-Mesa-Scottsdale; Pinal County
37359,city,Bellemont; AZ; Flagstaff; Coconino County
4432,city,Dudleyville; AZ; Phoenix-Mesa-Scottsdale; Pinal County
5726,city,Lukeville; AZ; Tucson; Pima County
40117,city,Oatman; AZ; Lake Havasu City-Kingman; Mohave County
55214,city,Willow Beach; AZ; Lake Havasu City-Kingman; Mohave County
