region_id,region_type,region
94989,zip,85603; AZ; Sierra Vista-Douglas; Cochise County; Bisbee
95026,zip,85643; AZ; Sierra Vista-Douglas; Cochise County; Willcox
95114,zip,85937; AZ; Show Low; Navajo County; Snowflake
95211,zip,86440; AZ; Lake Havasu City-Kingman; Mohave County; Mohave Valley
94734,zip,85018; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
95151,zip,86046; AZ; Flagstaff; Coconino County; Williams
94939,zip,85363; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Youngtown
95169,zip,86325; AZ; Prescott; Yavapai County; Cornville
417451,zip,85194; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Casa Grande
95112,zip,85935; AZ; Show Low; Navajo County; Pinetop
94984,zip,85552; AZ; Safford; Graham County; Thatcher
94937,zip,85361; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Surprise
95000,zip,85616; AZ; Sierra Vista-Douglas; Cochise County; Huachuca City
95176,zip,86333; AZ; Prescott; Yavapai County; Mayer
95039,zip,85701; AZ; Tucson; Pima County
94979,zip,85546; AZ; Safford; Graham County
94930,zip,85354; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tonopah
95007,zip,85623; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Oracle
94855,zip,85263; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Rio Verde
95168,zip,86324; AZ; Prescott; Yavapai County; Clarkdale
94898,zip,85321; AZ; Tucson; Pima County; Ajo
94750,zip,85034; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
95110,zip,85933; AZ; Show Low; Navajo County; Overgaard
95177,zip,86334; AZ; Prescott; Yavapai County; Paulden
95134,zip,86025; AZ; Show Low; Navajo County; Holbrook
95178,zip,86335; AZ; Prescott; Yavapai County; Rimrock
94951,zip,85377; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Carefree
95102,zip,85925; AZ; Apache County; Eagar
95015,zip,85631; AZ; Phoenix-Mesa-Scottsdale; Pinal County; San Manuel
94932,zip,85356; AZ; Yuma; Yuma County; Wellton
94973,zip,85540; AZ; Greenlee County; Morenci
95113,zip,85936; AZ; Apache County; Saint Johns
95130,zip,86021; AZ; Lake Havasu City-Kingman; Mohave County; Colorado City
95116,zip,85939; AZ; Show Low; Navajo County; Taylor
94922,zip,85346; AZ; La Paz County; Quartzsite
94901,zip,85324; AZ; Prescott; Yavapai County; Black Canyon City
95203,zip,86432; AZ; Lake Havasu City-Kingman; Mohave County; Littlefield
95132,zip,86023; AZ; Flagstaff; Coconino County; Grand Canyon
94976,zip,85543; AZ; Safford; Graham County; Pima
95072,zip,85736; AZ; Tucson; Pima County; Three Points
95101,zip,85924; AZ; Apache County; Concho
417447,zip,85173; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Superior
94967,zip,85532; AZ; Payson; Gila County; Miami
95127,zip,86017; AZ; Flagstaff; Coconino County; Munds Park
94908,zip,85332; AZ; Prescott; Yavapai County; Congress
417450,zip,85193; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Casa Grande
95009,zip,85625; AZ; Sierra Vista-Douglas; Cochise County; Pearce
95207,zip,86436; AZ; Lake Havasu City-Kingman; Mohave County; Mohave Valley
95115,zip,85938; AZ; Apache County; Springerville
95022,zip,85638; AZ; Sierra Vista-Douglas; Cochise County; Tombstone
94924,zip,85348; AZ; La Paz County; Salome
94969,zip,85534; AZ; Greenlee County; Duncan
95226,zip,86511; AZ; Apache County; Saint Michaels
95014,zip,85630; AZ; Sierra Vista-Douglas; Cochise County; Saint David
95164,zip,86320; AZ; Prescott; Yavapai County; Ash Fork
94968,zip,85533; AZ; Greenlee County; Clifton
95097,zip,85912; AZ; Show Low; Navajo County
95133,zip,86024; AZ; Flagstaff; Coconino County; Happy Jack
94985,zip,85553; AZ; Payson; Gila County; Tonto Basin
94977,zip,85544; AZ; Payson; Gila County; Pine
417445,zip,85145; AZ; Tucson; Pima County; Marana
94918,zip,85342; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Peoria
95227,zip,86512; AZ; Apache County; Sanders
417441,zip,85137; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Kearny
94913,zip,85337; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gila Bend
95175,zip,86332; AZ; Prescott; Yavapai County; Kirkland
95180,zip,86337; AZ; Prescott; Yavapai County; Seligman
95131,zip,86022; AZ; Flagstaff; Coconino County; Fredonia
94830,zip,85236; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
95212,zip,86441; AZ; Lake Havasu City-Kingman; Mohave County; Dolan Springs
95215,zip,86444; AZ; Lake Havasu City-Kingman; Mohave County; Meadview
94902,zip,85325; AZ; La Paz County; Bouse
95165,zip,86321; AZ; Prescott; Yavapai County; Bagdad
95028,zip,85645; AZ; Tucson; Pima County; Amado
95029,zip,85646; AZ; Nogales; Santa Cruz County; Tubac
95105,zip,85928; AZ; Show Low; Navajo County; Heber
95008,zip,85624; AZ; Nogales; Santa Cruz County; Patagonia
94910,zip,85334; AZ; La Paz County; Ehrenberg
95002,zip,85618; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Mammoth
95172,zip,86329; AZ; Prescott; Yavapai County; Dewey-Humboldt
417446,zip,85172; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Stanfield
95021,zip,85637; AZ; Nogales; Santa Cruz County; Sonoita
95117,zip,85940; AZ; Apache County; Vernon
417449,zip,85192; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Dudleyville
95209,zip,86438; AZ; Lake Havasu City-Kingman; Mohave County; Yucca
94995,zip,85610; AZ; Sierra Vista-Douglas; Cochise County; Elfrida
95001,zip,85617; AZ; Sierra Vista-Douglas; Cochise County; Mc Neal
95004,zip,85620; AZ; Sierra Vista-Douglas; Cochise County; Bisbee
94991,zip,85606; AZ; Sierra Vista-Douglas; Cochise County; Cochise
95139,zip,86032; AZ; Show Low; Navajo County; Joseph City
94987,zip,85601; AZ; Tucson; Pima County; Arivaca
95128,zip,86018; AZ; Flagstaff; Coconino County; Parks
95098,zip,85920; AZ; Apache County; Alpine
94938,zip,85362; AZ; Prescott; Yavapai County; Yarnell
94897,zip,85320; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Aguila
95016,zip,85632; AZ; Sierra Vista-Douglas; Cochise County; San Simon
94978,zip,85545; AZ; Payson; Gila County; Roosevelt
94856,zip,85264; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Fort McDowell
94986,zip,85554; AZ; Payson; Gila County; Young
94996,zip,85611; AZ; Nogales; Santa Cruz County; Elgin
95024,zip,85640; AZ; Nogales; Santa Cruz County; Tubac
95202,zip,86431; AZ; Lake Havasu City-Kingman; Mohave County; Chloride
95125,zip,86015; AZ; Flagstaff; Coconino County
95174,zip,86331; AZ; Prescott; Yavapai County; Jerome
95109,zip,85932; AZ; Apache County; Nutrioso
94928,zip,85352; AZ; Yuma; Yuma County; Wellton
95111,zip,85934; AZ; Show Low; Navajo County; Pinedale
95108,zip,85931; AZ; Flagstaff; Coconino County; Forest Lakes
94899,zip,85322; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Arlington
417462,zip,85135; AZ; Payson; Gila County; Globe
95181,zip,86338; AZ; Prescott; Yavapai County; Skull Valley
94933,zip,85357; AZ; La Paz County; Wenden
94912,zip,85336; AZ; Yuma; Yuma County; Somerton
95216,zip,86445; AZ; Lake Havasu City-Kingman; Mohave County; Willow Beach
94909,zip,85333; AZ; Yuma; Yuma County; Dateland
95104,zip,85927; AZ; Apache County; Greer
94936,zip,85360; AZ; Lake Havasu City-Kingman; Mohave County; Wikieup
417463,zip,85141; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Eloy
94971,zip,85536; AZ; Safford; Graham County; Fort Thomas
94994,zip,85609; AZ; Sierra Vista-Douglas; Cochise County; Dragoon
95011,zip,85627; AZ; Sierra Vista-Douglas; Cochise County; Benson
95144,zip,86038; AZ; Flagstaff; Coconino County; Mormon Lake
417448,zip,85191; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Valley Farms
94923,zip,85347; AZ; Yuma; Yuma County; Roll
94966,zip,85531; AZ; Safford; Graham County; Thatcher
95100,zip,85923; AZ; Show Low; Navajo County
94905,zip,85328; AZ; La Paz County; Cibola
95143,zip,86036; AZ; Flagstaff; Coconino County; Page
95003,zip,85619; AZ; Sierra Vista-Douglas; Cochise County; Benson
95204,zip,86433; AZ; Lake Havasu City-Kingman; Mohave County; Peach Springs
95099,zip,85922; AZ; Greenlee County; Blue
60885,zip,07961; AZ; Payson; Gila County
95195,zip,86411; AZ; Lake Havasu City-Kingman; Mohave County; Kingman
95186,zip,86343; AZ; Prescott; Yavapai County; Crown King
95208,zip,86437; AZ; Lake Havasu City-Kingman; Mohave County; Valentine
94919,zip,85343; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Buckeye
94846,zip,85254; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
94934,zip,85358; AZ; La Paz County; Salome
95010,zip,85626; AZ; Sierra Vista-Douglas; Cochise County; Douglas
94972,zip,85539; AZ; Payson; Gila County; Miami
94761,zip,85045; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
