region_id,region_type,region
394976,metro,"Phoenix, AZ"
394595,metro,"Flagstaff, AZ; AZ"
395095,metro,"Show Low, AZ; AZ"
395167,metro,"Tucson, AZ"
395247,metro,"Yuma, AZ; AZ"
395002,metro,"Prescott, AZ; AZ"
394967,metro,"Payson, AZ; AZ"
394765,metro,"Lake Havasu City, AZ; AZ"
395046,metro,"Safford, AZ; AZ"
394918,metro,"Nogales, AZ; AZ"
395098,metro,"Sierra Vista, AZ; AZ"
